,O.diatom,E.diatom,OoverE.diatom,Onull.diatom,Enull.diatom,OoverE.null.diatom,BC.diatom,BC.null.diatom,Type.diatom,Type.diatom.1,MMI.diatom,Type.null.diatom,MMI.null.diatom,ASCI.diatom,ASCI.null.diatom,O.sba,E.sba,OoverE.sba,Onull.sba,Enull.sba,OoverE.null.sba,BC.sba,BC.null.sba,Type.sba,Type.sba.1,MMI.sba,Type.null.sba,MMI.null.sba,ASCI.sba,ASCI.null.sba,O.hybrid,E.hybrid,OoverE.hybrid,Onull.hybrid,Enull.hybrid,OoverE.null.hybrid,BC.hybrid,BC.null.hybrid,Type.hybrid,Type.hybrid.1,MMI.hybrid,Type.null.hybrid,MMI.null.hybrid,ASCI.hybrid,ASCI.null.hybrid,zed
632CHV001_7.23.10_1,10,7.936189257,1.260050596,9,8.674796748,1.037488285,0.115064059,0.148727384,rc,Reference,1.047753962,Reference,1.047753962,1.153902279,1.042621123,4,3.371567762,1.186391698,4,4.943349754,0.809167912,0.193779493,0.392453869,rc,Reference,1.319647237,Reference,1.319647237,1.253019468,1.064407575,15,11.54068153,1.29974993,12,10.00478469,1.199426112,0.169896774,0.185692542,rc,Reference,1.172261425,Reference,1.172261425,1.236005677,1.185843768,632CHV001_7.23.10_1
632DIX001_9.3.12_1,12,9.391153781,1.277798264,10,8.674796748,1.152764761,0.121959117,0.135974459,rc,Reference,0.949957562,Reference,0.949957562,1.113877913,1.051361161,3,5.151018584,0.582409081,4,4.943349754,0.809167912,0.473023019,0.444781052,rc,Reference,0.983970505,Reference,0.983970505,0.783189793,0.896569209,13,9.929817919,1.309188155,12,10.00478469,1.199426112,0.191872793,0.203739943,rc,Reference,0.939029011,Reference,0.939029011,1.124108583,1.069227561,632DIX001_9.3.12_1
632ELD001_9.8.11_1,10,8.891391098,1.124683403,8,8.674796748,0.922211809,0.151407456,0.206890948,rc,Reference,1.098951129,Reference,1.098951129,1.111817266,1.010581469,4,7.483154195,0.534533954,3,4.943349754,0.606875934,0.572599988,0.511317829,rc,Reference,0.901706048,Reference,0.901706048,0.718120001,0.754290991,11,10.40283613,1.057403949,10,10.00478469,0.99952176,0.219083216,0.255919636,rc,Reference,1.052451444,Reference,1.052451444,1.054927696,1.025986602,632ELD001_9.8.11_1
632HNCAHL_8.31.10_1,8,9.439179956,0.847531251,9,8.674796748,1.037488285,0.223335956,0.18399264,rc,Reference,1.064467859,Reference,1.064467859,0.955999555,1.050978072,5,3.61924261,1.381504513,5,4.943349754,1.01145989,0.273621664,0.376764924,rc,Reference,1.011065415,Reference,1.011065415,1.196284964,1.011262652,11,9.886329949,1.112647469,12,10.00478469,1.199426112,0.189627118,0.211132855,rc,Reference,1.013224814,Reference,1.013224814,1.062936142,1.106325463,632HNCAHL_8.31.10_1
632HOS002_9.4.12_1,9,9.276429671,0.970200855,10,8.674796748,1.152764761,0.179652394,0.135974459,rc,Reference,0.983278189,Reference,0.983278189,0.976739522,1.068021475,4,4.61966528,0.865863598,6,4.943349754,1.213751868,0.436560811,0.395003376,rc,Reference,1.162447942,Reference,1.162447942,1.01415577,1.188099905,10,8.14752224,1.227367009,11,10.00478469,1.099473936,0.246369396,0.213667426,rc,Reference,1.059419215,Reference,1.059419215,1.143393112,1.079446575,632HOS002_9.4.12_1
632MRK001_7.22.10_1,13,10.77691779,1.20628182,10,8.674796748,1.152764761,0.145433301,0.135974459,int,Intermediate,1.016340984,Intermediate,1.016340984,1.111311402,1.084552872,6,5.171923509,1.160109965,6,4.943349754,1.213751868,0.33846972,0.345037137,int,Intermediate,1.000504978,Intermediate,1.000504978,1.080307471,1.107128423,13,9.743865023,1.334172833,12,10.00478469,1.199426112,0.14316542,0.185692542,int,Intermediate,1.044964255,Intermediate,1.044964255,1.189568544,1.122195184,632MRK001_7.22.10_1
632MUR001_9.7.11_1,8,9.555185855,0.837241695,7,8.674796748,0.806935333,0.235240641,0.244121715,rv,Reference,0.964946004,Reference,0.964946004,0.90109385,0.885940669,5,4.904060251,1.01956333,6,4.943349754,1.213751868,0.312648435,0.343686698,rv,Reference,1.007435152,Reference,1.007435152,1.013499241,1.11059351,11,11.41513237,0.963633153,11,10.00478469,1.099473936,0.220899275,0.235535308,rv,Reference,0.996133565,Reference,0.996133565,0.979883359,1.047803751,632MUR001_9.7.11_1
632NOB001_7.25.10_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.099786217,0.322602893,2,4.943349754,0.404583956,0.520555701,0.604114934,other,Reference,1.006488429,Reference,1.006488429,0.664545661,0.705536192,1,10.49710848,0.095264329,1,10.00478469,0.099952176,0.83347911,0.827826087,other,Reference,0.775288811,Reference,0.775288811,0.43527657,0.437620493,632NOB001_7.25.10_1
632NOB001_9.1.10_1,11,8.740972581,1.258441197,11,8.674796748,1.268041237,0.114433441,0.118181818,rv,Reference,1.09489863,Reference,1.09489863,1.176669914,1.181469934,2,4.944244534,0.404510737,2,4.943349754,0.404583956,0.569972491,0.604114934,rv,Reference,1.006488429,Reference,1.006488429,0.705499583,0.705536192,11,10.87521533,1.011474225,11,10.00478469,1.099473936,0.22789455,0.21594533,rv,Reference,1.067330827,Reference,1.067330827,1.039402526,1.083402382,632NOB001_9.1.10_1
632PS0007_7.23.08_1,12,9.463616325,1.268014212,10,8.674796748,1.152764761,0.118171311,0.135974459,rc,Reference,1.133423501,Reference,1.133423501,1.200718857,1.143094131,2,6.110611799,0.327299469,1,4.943349754,0.202291978,0.739953403,0.849979279,rc,Reference,1.050607264,Reference,1.050607264,0.688953367,0.626449621,6,8.53604691,0.702901479,9,10.00478469,0.899569584,0.548479834,0.290281974,rc,Reference,1.119277478,Reference,1.119277478,0.911089479,1.009423531,632PS0007_7.23.08_1
